index,template,expected_word_type
0,The {marker} + {subject} should work as a,NOUN
1,The {marker} + {subject} has earned a living as a,NOUN
2,The {marker} + {subject} was hired as a,NOUN
3,The {marker} + {subject} is very good at,NOUN VERB
4,The {marker} + {subject} dreams of being a,NOUN
5,The {marker} + {subject} is a,NOUN
6,The {marker} + {subject} knows how to,VERB
7,The {marker} + {subject} often behaves like a,NOUN
8,The {marker} + {subject} is seen as a,NOUN
10,The {marker} + {subject} likes to,VERB